file,slot,period,summary,eval,t_s,variable
SaltVerification.rdf,UpperColoradoReach.Outflow Salt Mass,cy,sum,NA,NA,1_mass_glen
SaltVerification.rdf,UpperColoradoAboveCameo.Outflow Salt Mass,cy,sum,NA,NA,2_mass_cameo
SaltVerification.rdf,GunnisonRiverAboveGrandJunction.Outflow Salt Mass,cy,sum,NA,NA,6_mass_gunn
SaltVerification.rdf,DoloresRiver.Outflow Salt Mass,cy,sum,NA,NA,7_mass_dolor
SaltVerification.rdf,DoloresColorado.Outflow Salt Mass,cy,sum,NA,NA,8_mass_cisco
SaltVerification.rdf,GreenRAboveGreenRiverWY.Outflow Salt Mass,cy,sum,NA,NA,10_mass_grwy
SaltVerification.rdf,FlamingGorge.Outflow Salt Mass,cy,sum,NA,NA,11_mass_gdale
SaltVerification.rdf,YampaRiver.Outflow Salt Mass,cy,sum,NA,NA,12_mass_yampa
SaltVerification.rdf,DuchesneBelowStarv.Outflow Salt Mass,cy,sum,NA,NA,14_mass_duch
SaltVerification.rdf,WhiteRiverAboveWatson.Outflow Salt Mass,cy,sum,NA,NA,15_mass_white
SaltVerification.rdf,GreenRWhiteToSanRafael.Outflow Salt Mass,cy,sum,NA,NA,16_mass_grut
SaltVerification.rdf,SanRafaelRiver.Outflow Salt Mass,cy,sum,NA,NA,17_mass_sanraf
SaltVerification.rdf,Navajo.Outflow Salt Mass,cy,sum,NA,NA,18_mass_arch
SaltVerification.rdf,LowerSanJuanRiver.Outflow Salt Mass,cy,sum,NA,NA,19_mass_bluf
SaltVerification.rdf,Powell.Outflow Salt Mass,cy,sum,NA,NA,20_mass_lees
SaltVerification.rdf,CoRivLittleCOToVirgin.Outflow Salt Mass,cy,sum,NA,NA,23_mass_grcan
SaltVerification.rdf,VirginRiver.Outflow Salt Mass,cy,sum,NA,NA,24_mass_virgin
SaltVerification.rdf,Mead.Outflow Salt Mass,cy,sum,NA,NA,25_mass_hoover
SaltVerification.rdf,Havasu.Outflow Salt Mass,cy,sum,NA,NA,28_mass_parker
SaltVerification.rdf,AboveImperialDamColoradoR.Outflow Salt Mass,cy,sum,NA,NA,29_mass_imper
Res.rdf,Powell.Inflow,cy,sum,NA,NA,20_flow_powellin
Salt.rdf,Powell.Inflow Salt Mass,cy,sum,NA,NA,20_mass_powellin
WQAnn.rdf,AnnualSalinity.PowellInflow_FWAAC,December,NA,NA,NA,20_conc_powellin
