file,slot,period,summary,eval,t_s,variable
Res.rdf,Powell.Inflow,cy,sum,NA,NA,Powell.Inflow
Res.rdf,Powell.Storage,cy,sum,NA,NA,Powell.Storage
KeySlots.rdf,Powell.Outflow,cy,sum,NA,NA,Powell.Outflow
Salt.rdf,Powell.Inflow Salt Mass,cy,sum,NA,NA,Powell.Inflow Salt Mass
Salt.rdf,Powell.Outflow Salt Mass,cy,sum,NA,NA,Powell.Outflow Salt Mass
Salt.rdf,Powell.Inflow Salt Concentration,eocy,NA,NA,NA,Powell.Inflow Salt Concentration
Salt.rdf,Powell.Outflow Salt Concentration,eocy,NA,NA,NA,Powell.Outflow Salt Concentration
Res.rdf,Mead.Inflow,cy,sum,NA,NA,Mead.Inflow
Res.rdf,Mead.Storage,cy,sum,NA,NA,Mead.Storage
KeySlots.rdf,Mead.Outflow,cy,sum,NA,NA,Mead.Outflow
Salt.rdf,Mead.Inflow Salt Mass,cy,sum,NA,NA,Mead.Inflow Salt Mass
Salt.rdf,Mead.Outflow Salt Mass,cy,sum,NA,NA,Mead.Outflow Salt Mass
Salt.rdf,Mead.Inflow Salt Concentration,eocy,NA,NA,NA,Mead.Inflow Salt Concentration
Salt.rdf,Mead.Outflow Salt Concentration,eocy,NA,NA,NA,Mead.Outflow Salt Concentration
