file,slot,period,summary,eval,t_s,variable
Res.rdf,Powell.Inflow,asis,NA,NA,NA,Powell.Inflow
Res.rdf,Powell.Storage,asis,NA,NA,NA,Powell.Storage
KeySlots.rdf,Powell.Outflow,asis,NA,NA,NA,Powell.Outflow
Salt.rdf,Powell.Inflow Salt Mass,asis,NA,NA,NA,Powell.Inflow Salt Mass
Salt.rdf,Powell.Reservoir Salt Mass,asis,NA,NA,NA,Powell.Reservoir Salt Mass
Salt.rdf,Powell.Outflow Salt Mass,asis,NA,NA,NA,Powell.Outflow Salt Mass
Salt.rdf,Powell.Inflow Salt Concentration,asis,NA,NA,NA,Powell.Inflow Salt Concentration
Salt.rdf,Powell.Outflow Salt Concentration,asis,NA,NA,NA,Powell.Outflow Salt Concentration
Res.rdf,Mead.Inflow,asis,NA,NA,NA,Mead.Inflow
Res.rdf,Mead.Storage,asis,NA,NA,NA,Mead.Storage
KeySlots.rdf,Mead.Outflow,asis,NA,NA,NA,Mead.Outflow
Salt.rdf,Mead.Inflow Salt Mass,asis,NA,NA,NA,Mead.Inflow Salt Mass
Salt.rdf,Mead.Reservoir Salt Mass,asis,NA,NA,NA,Mead.Reservoir Salt Mass
Salt.rdf,Mead.Outflow Salt Mass,asis,NA,NA,NA,Mead.Outflow Salt Mass
Salt.rdf,Mead.Inflow Salt Concentration,asis,NA,NA,NA,Mead.Inflow Salt Concentration
Salt.rdf,Mead.Outflow Salt Concentration,asis,NA,NA,NA,Mead.Outflow Salt Concentration
