file,slot,period,summary,eval,t_s,variable
Salt.rdf,LittlefieldNF.Inflow Salt Mass,cy,sum,NA,NA,LittlefieldNF
Salt.rdf,DavisNF.Inflow Salt Mass,cy,sum,NA,NA,DavisNF
Salt.rdf,AlamoNF.Inflow Salt Mass,cy,sum,NA,NA,AlamoNF
Salt.rdf,ParkerNF.Inflow Salt Mass,cy,sum,NA,NA,ParkerNF
Salt.rdf,HooverNF.Inflow Salt Mass,cy,sum,NA,NA,HooverNF
Salt.rdf,CiscoDoloresNF.Inflow Salt Mass,cy,sum,NA,NA,CiscoDoloresNF
Salt.rdf,RandlettNF.Inflow Salt Mass,cy,sum,NA,NA,RandlettNF
Salt.rdf,GreendaleNF.Inflow Salt Mass,cy,sum,NA,NA,GreendaleNF
Salt.rdf,FontenelleNF.Inflow Salt Mass,cy,sum,NA,NA,FontenelleNF
Salt.rdf,GreenRiverWYNF.Inflow Salt Mass,cy,sum,NA,NA,GreenRiverWYNF
Salt.rdf,GreenRiverUTGreenNF.Inflow Salt Mass,cy,sum,NA,NA,GreenRiverUTGreenNF
Salt.rdf,CrystalNF.Inflow Salt Mass,cy,sum,NA,NA,CrystalNF
Salt.rdf,GrandJunctionNF.Inflow Salt Mass,cy,sum,NA,NA,GrandJunctionNF
Salt.rdf,CameronNF.Inflow Salt Mass,cy,sum,NA,NA,CameronNF
Salt.rdf,LilyNF.Inflow Salt Mass,cy,sum,NA,NA,LilyNF
Salt.rdf,LeesFerryPariaNF.Inflow Salt Mass,cy,sum,NA,NA,LeesFerryPariaNF
Salt.rdf,LeesFerryNF.Inflow Salt Mass,cy,sum,NA,NA,LeesFerryNF
Salt.rdf,BluffNF.Inflow Salt Mass,cy,sum,NA,NA,BluffNF
Salt.rdf,GreenRiverUTSanRafaelNF.Inflow Salt Mass,cy,sum,NA,NA,GreenRiverUTSanRafaelNF
Salt.rdf,ArchuletaNF.Inflow Salt Mass,cy,sum,NA,NA,ArchuletaNF
Salt.rdf,BlueMesaNF.Inflow Salt Mass,cy,sum,NA,NA,BlueMesaNF
Salt.rdf,TaylorParkNF.Inflow Salt Mass,cy,sum,NA,NA,TaylorParkNF
Salt.rdf,CameoNF.Inflow Salt Mass,cy,sum,NA,NA,CameoNF
Salt.rdf,CiscoColoradoNF.Inflow Salt Mass,cy,sum,NA,NA,CiscoColoradoNF
Salt.rdf,GlenwoodSpringsNF.Inflow Salt Mass,cy,sum,NA,NA,GlenwoodSpringsNF
Salt.rdf,WatsonNF.Inflow Salt Mass,cy,sum,NA,NA,WatsonNF
Salt.rdf,MaybellNF.Inflow Salt Mass,cy,sum,NA,NA,MaybellNF
Salt.rdf,GrandCanyonNF.Inflow Salt Mass,cy,sum,NA,NA,GrandCanyonNF
