file,slot,period,summary,eval,t_s,variable
SaltOutput.rdf,UpperColoradoReach:ExportsAboveGlenwoodSprings.Salt Storage,asis,NA,NA,NA,UpperColoradoReach_ExportsAboveGlenwoodSprings_SaltStorage
SaltOutput.rdf,UpperColoradoAboveCameo:MiscUsersAbvCameo.Salt Storage,asis,NA,NA,NA,UpperColoradoAboveCameo_MiscUsersAbvCameo_SaltStorage
SaltOutput.rdf,GunnisonRiverAboveGrandJunction:DallasCreekProject_MiscUses.Salt Storage,asis,NA,NA,NA,GunnisonRiverAboveGrandJunction_DallasCreekProject_MiscUses_SaltStorage
SaltOutput.rdf,DoloresRiver:ParadoxValleyWQIP.Salt Storage,asis,NA,NA,NA,DoloresRiver_ParadoxValleyWQIP_SaltStorage
SaltOutput.rdf,GreenRAboveGreenRiverWY:RRMiscUsesBelowFontenelle.Salt Storage,asis,NA,NA,NA,GreenRAboveGreenRiverWY_RRMiscUsesBelowFontenelle_SaltStorage
SaltOutput.rdf,GreenRAboveFlamingGorge:BlacksForkWQIP.Salt Storage,asis,NA,NA,NA,GreenRAboveFlamingGorge_BlacksForkWQIP_SaltStorage
SaltOutput.rdf,GreenRWhiteToSanRafael:GreenRiverUTWQIP.Salt Storage,asis,NA,NA,NA,GreenRWhiteToSanRafael_GreenRiverUTWQIP_SaltStorage
SaltOutput.rdf,YampaRiver:RRHaydenAndCraigThermalAndMisc.Salt Storage,asis,NA,NA,NA,YampaRiver_RRHaydenAndCraigThermalAndMisc_SaltStorage
SaltOutput.rdf,DuchesneBelowStarv:RRMiscUsesAboveRandlette.Salt Storage,asis,NA,NA,NA,DuchesneBelowStarv_RRMiscUsesAboveRandlette_SaltStorage
SaltOutput.rdf,WhiteRiverAboveWatson:RRWhiteUTAgandMIUse.Salt Storage,asis,NA,NA,NA,WhiteRiverAboveWatson_RRWhiteUTAgandMIUse_SaltStorage
SaltOutput.rdf,LowerSanJuanRiver:UtahUses.Salt Storage,asis,NA,NA,NA,LowerSanJuanRiver_UtahUses_SaltStorage
SaltOutput.rdf,CoRivLittleCOToVirgin:GainsAboveGC.Salt Storage,asis,NA,NA,NA,CoRivLittleCOToVirgin_GainsAboveGC_SaltStorage
SaltOutput.rdf,VirginRiver:RRVegMgmt.Salt Storage,asis,NA,NA,NA,VirginRiver_RRVegMgmt_SaltStorage
SaltOutput.rdf,AboveImperialDamColoradoR:RRNativeVegetation.Salt Storage,asis,NA,NA,NA,AboveImperialDamColoradoR_RRNativeVegetation_SaltStorage
