file,slot,period,summary,eval,t_s,variable
SystemConditions.rdf,SummaryOutputData.LBFloodControlSurplus,asis,NA,NA,NA,AnnualFloodControlFlag   
SystemConditions.rdf,SummaryOutputData.LBShortageConditions,asis,NA,NA,NA,AnnualShortageAnyTypeFlag
SystemConditions.rdf,SummaryOutputData.EqualizationAbove823,asis,NA,NA,NA,EqualizationAbove823     
SystemConditions.rdf,SummaryOutputData.EqualizationAt823,asis,NA,NA,NA,EqualizationAt823        
SystemConditions.rdf,SummaryOutputData.LBNormalCondition,asis,NA,NA,NA,LBNormalCondition        
SystemConditions.rdf,SummaryOutputData.LowerBalancingAbove823,asis,NA,NA,NA,LowerBalancingAbove823   
SystemConditions.rdf,SummaryOutputData.LowerBalancingAt823,asis,NA,NA,NA,LowerBalancingAt823      
SystemConditions.rdf,SummaryOutputData.LowerBalancingBelow823,asis,NA,NA,NA,LowerBalancingBelow823   
SystemConditions.rdf,SummaryOutputData.MidElevationReleaseAt748,asis,NA,NA,NA,MidElevationReleaseAt748
SystemConditions.rdf,SummaryOutputData.MidElevationReleaseAt823,asis,NA,NA,NA,MidElevationReleaseAt823
SystemConditions.rdf,SummaryOutputData.LBShortageStep1,asis,NA,NA,NA,Step1ShortageFlag        
SystemConditions.rdf,SummaryOutputData.LBShortageStep2,asis,NA,NA,NA,Step2ShortageFlag        
SystemConditions.rdf,SummaryOutputData.LBShortageStep3,asis,NA,NA,NA,Step3ShortageFlag        
SystemConditions.rdf,SummaryOutputData.UpperBalancingAbove823,asis,NA,NA,NA,UpperBalancingAbove823   
SystemConditions.rdf,SummaryOutputData.UpperBalancingAt823,asis,NA,NA,NA,UpperBalancingAt823      
SystemConditions.rdf,SummaryOutputData.UpperBalancingBelow823,asis,NA,NA,NA,UpperBalancingBelow823   
SystemConditions.rdf,SummaryOutputData.LBSurplusConditions,asis,NA,NA,NA,LBSurplusConditions  
