file,slot,period,summary,eval,t_s,variable
UBDO.rdf,ExtendedOperations.AdditionalBlueMesaRelease,asis,NA,NA,NA,AdditionalBlueMesaRelease
UBDO.rdf,ExtendedOperations.Apr_AnticipatedDepletions,asis,NA,NA,NA,Apr_AnticipatedDepletions
UBDO.rdf,ExtendedOperations.Aug_AnticipatedDepletions,asis,NA,NA,NA,Aug_AnticipatedDepletions
UBDO.rdf,ExtendedOperations.DROAprJulFlag,asis,NA,NA,NA,DROAprJulFlag
UBDO.rdf,ExtendedOperations.DROAugDecFlag,asis,NA,NA,NA,DROAugDecFlag
UBDO.rdf,ExtendedOperations.DROJanMarFlag,asis,NA,NA,NA,DROJanMarFlag
UBDO.rdf,ExtendedOperations.FGForecastDVRelease,asis,NA,NA,NA,FGForecastDVRelease
UBDO.rdf,ExtendedOperations.FlamingGorgeNormalRelease,asis,NA,NA,NA,FlamingGorgeNormalRelease
UBDO.rdf,ExtendedOperations.FlamingGorgeReleaseDifference,asis,NA,NA,NA,FlamingGorgeReleaseDifference
UBDO.rdf,ExtendedOperations.Navajo_AdditionalExtendedRelease,asis,NA,NA,NA,Navajo_AdditionalExtendedRelease
UBDO.rdf,ExtendedOperations.Navajo_AdditionalPeakRelease,asis,NA,NA,NA,Navajo_AdditionalPeakRelease
UBDO.rdf,ExtendedOperations.Navajo_TotalAdditionalRelease,asis,NA,NA,NA,Navajo_TotalAdditionalRelease
UBDO.rdf,ExtendedOperations.NavajoRecoveryFlag,asis,NA,NA,NA,NavajoRecoveryFlag
UBDO.rdf,ExtendedOperations.PowellForecastDeficit,asis,NA,NA,NA,PowellForecastDeficit
UBDO.rdf,ExtendedOperations.PowellForecastDeficitFlag,asis,NA,NA,NA,PowellForecastDeficitFlag
UBDO.rdf,ExtendedOperations.PowellReleaseThroughApril,asis,NA,NA,NA,PowellReleaseThroughApril
