file,slot,period,summary,eval,t_s,variable
UBDO.rdf,ExtendedOperations.PowellForecastDeficitFlag,asis,NA,NA,NA,ubdo_flag
UBRes.rdf,BlueMesa.Pool Elevation,asis,NA,NA,NA,BlueMesa.PE
UBRes.rdf,FlamingGorge.Pool Elevation,asis,NA,NA,NA,FlamingGorge.PE
UBRes.rdf,FlamingGorge.Outflow,asis,NA,NA,NA,FlamingGorge.Outflow
UBRes.rdf,BlueMesa.Outflow,asis,NA,NA,NA,BlueMesa.Outflow
UBRes.rdf,Navajo.Pool Elevation,asis,NA,NA,NA,Navajo.PE
UBRes.rdf,Navajo.Outflow,asis,NA,NA,NA,Navajo.Outflow
Res.rdf,Powell.Inflow,asis,NA,NA,NA,Powell.Inflow
Res.rdf,Powell.Pool Elevation,asis,NA,NA,NA,Powell.PE
Res.rdf,Powell.Outflow,asis,NA,NA,NA,Powell.Outflow
UBRes.rdf,FlamingGorge.Storage,asis,NA,NA,NA,FlamingGorge.Storage
UBRes.rdf,Navajo.Storage,asis,NA,NA,NA,Navajo.Storage
UBRes.rdf,BlueMesa.Storage,asis,NA,NA,NA,BlueMesa.Storage
Res.rdf,Powell.Storage,asis,NA,NA,NA,Powell.Storage
StreamGages.rdf,ColoradoNearCisco.Gage Outflow,asis,NA,NA,NA,COCisco
StreamGages.rdf,GreenAtGreenRiverUT.Gage Outflow,asis,NA,NA,NA,GreenGRUT
StreamGages.rdf,SanJuanNearBluff.Gage Outflow,asis,NA,NA,NA,SJBluff
