file,slot,period,summary,eval,t_s,variable
DivSalt.rdf,DoloresRiver:IntraBasinExportAndDoloresProject.Diversion Salt Concentration,asis,NA,NA,NA,DoloresExp_DivSaltConc
DivSalt.rdf,DuchesneAboveStarv:RRDuchesneRExports.Diversion Salt Concentration,asis,NA,NA,NA,DuchesneExp_DivSaltConc
DivSalt.rdf,GreenRAboveFontenelle:RRExportAboveFontenelle.Diversion Salt Concentration,asis,NA,NA,NA,FontExp_DivSaltConc
DivSalt.rdf,GreenRWhiteToSanRafael:RRPriceRiverExport.Diversion Salt Concentration,asis,NA,NA,NA,PriceExp_DivSaltConc
DivSalt.rdf,LittleSnakeRiver:RRLittleSnakeRExports.Diversion Salt Concentration,asis,NA,NA,NA,LilSnakeExp_DivSaltConc
DivSalt.rdf,SJAboveNavajo:ReachSJChamaExport.Diversion Salt Concentration,asis,NA,NA,NA,SJChamaExp_DivSaltConc
DivSalt.rdf,UpperColoradoAboveCameo:ExportsFromRoaringForkRiver.Diversion Salt Concentration,asis,NA,NA,NA,RoaringForkExp_DivSaltConc
DivSalt.rdf,UpperColoradoReach:ExportsAboveGlenwoodSprings.Diversion Salt Concentration,asis,NA,NA,NA,GlenwoodExp_DivSaltConc
DivSalt.rdf,DoloresRiver:IntraBasinExportAndDoloresProject.Diversion Salt Mass,asis,NA,NA,NA,DoloresExp_DivSaltMass
DivSalt.rdf,DuchesneAboveStarv:RRDuchesneRExports.Diversion Salt Mass,asis,NA,NA,NA,DuchesneExp_DivSaltMass
DivSalt.rdf,GreenRAboveFontenelle:RRExportAboveFontenelle.Diversion Salt Mass,asis,NA,NA,NA,FontExp_DivSaltMass
DivSalt.rdf,GreenRWhiteToSanRafael:RRPriceRiverExport.Diversion Salt Mass,asis,NA,NA,NA,PriceExp_DivSaltMass
DivSalt.rdf,LittleSnakeRiver:RRLittleSnakeRExports.Diversion Salt Mass,asis,NA,NA,NA,LilSnakeExp_DivSaltMass
DivSalt.rdf,SJAboveNavajo:ReachSJChamaExport.Diversion Salt Mass,asis,NA,NA,NA,SJChamaExp_DivSaltMass
DivSalt.rdf,UpperColoradoAboveCameo:ExportsFromRoaringForkRiver.Diversion Salt Mass,asis,NA,NA,NA,RoaringForkExp_DivSaltMass
DivSalt.rdf,UpperColoradoReach:ExportsAboveGlenwoodSprings.Diversion Salt Mass,asis,NA,NA,NA,GlenwoodExp_DivSaltMass
DivSalt.rdf,DoloresRiver:IntraBasinExportAndDoloresProject.Outflow Salt Mass,asis,NA,NA,NA,DoloresExp_OutSaltMass
DivSalt.rdf,DuchesneAboveStarv:RRDuchesneRExports.Outflow Salt Mass,asis,NA,NA,NA,DuchesneExp_OutSaltMass
DivSalt.rdf,GreenRAboveFontenelle:RRExportAboveFontenelle.Outflow Salt Mass,asis,NA,NA,NA,FontExp_OutSaltMass
DivSalt.rdf,GreenRWhiteToSanRafael:RRPriceRiverExport.Outflow Salt Mass,asis,NA,NA,NA,PriceExp_OutSaltMass
DivSalt.rdf,LittleSnakeRiver:RRLittleSnakeRExports.Outflow Salt Mass,asis,NA,NA,NA,LilSnakeExp_OutSaltMass
DivSalt.rdf,SJAboveNavajo:ReachSJChamaExport.Outflow Salt Mass,asis,NA,NA,NA,SJChamaExp_OutSaltMass
DivSalt.rdf,UpperColoradoAboveCameo:ExportsFromRoaringForkRiver.Outflow Salt Mass,asis,NA,NA,NA,RoaringForkExp_OutSaltMass
DivSalt.rdf,UpperColoradoReach:ExportsAboveGlenwoodSprings.Outflow Salt Mass,asis,NA,NA,NA,GlenwoodExp_OutSaltMass
DivSalt.rdf,DoloresRiver.Outflow Salt Mass,asis,NA,NA,NA,DoloresRiver_OutSaltMass
DivSalt.rdf,DuchesneAboveStarv.Outflow Salt Mass,asis,NA,NA,NA,DuchesneAboveStarv_OutSaltMass
DivSalt.rdf,GreenRAboveFontenelle.Outflow Salt Mass,asis,NA,NA,NA,GreenRAboveFontenelle_OutSaltMass
DivSalt.rdf,GreenRWhiteToSanRafael.Outflow Salt Mass,asis,NA,NA,NA,GreenRWhiteToSanRafael_OutSaltMass
DivSalt.rdf,LittleSnakeRiver.Outflow Salt Mass,asis,NA,NA,NA,LittleSnakeRiver_OutSaltMass
DivSalt.rdf,SJAboveNavajo.Outflow Salt Mass,asis,NA,NA,NA,SJAboveNavajo_OutSaltMass
DivSalt.rdf,UpperColoradoAboveCameo.Outflow Salt Mass,asis,NA,NA,NA,UpperColoradoAboveCameo_OutSaltMass
DivSalt.rdf,UpperColoradoReach.Outflow Salt Mass,asis,NA,NA,NA,UpperColoradoReach_OutSaltMass
